kind,width,height,depth,num_filled,time
list,75,75,2,175,0.5460360050201416
list,75,75,2,184,0.561133861541748
list,75,75,2,123,0.38303518295288086
list,75,75,2,131,0.3978250026702881
list,75,75,2,222,0.6786742210388184
list,75,75,2,223,0.6802539825439453
list,75,75,2,208,0.6350610256195068
list,75,75,2,159,0.48343563079833984
list,75,75,2,216,0.6617279052734375
list,75,75,2,253,0.7757339477539062
list,75,75,2,200,0.6181778907775879
list,75,75,2,194,0.5851891040802002
list,75,75,2,230,0.6992189884185791
list,75,75,2,159,0.4796628952026367
list,75,75,2,224,0.6852269172668457
list,75,75,2,196,0.6044149398803711
list,75,75,2,229,0.6918339729309082
list,75,75,2,220,0.6664228439331055
list,75,75,10,264,0.8089840412139893
list,75,75,10,417,1.245940923690796
list,75,75,10,353,1.0705580711364746
list,75,75,10,244,0.7341220378875732
list,75,75,10,470,1.3989531993865967
list,75,75,10,709,2.083205223083496
list,75,75,10,212,0.640484094619751
list,75,75,10,238,0.7255017757415771
list,75,75,10,319,0.9705018997192383
list,75,75,10,1137,3.2568519115448
list,75,75,10,414,1.2524080276489258
list,75,75,10,173,0.5291697978973389
list,75,75,10,260,0.7911586761474609
list,75,75,10,271,0.8195698261260986
list,75,75,10,422,1.272623062133789
list,75,75,10,253,0.7679941654205322
list,75,75,10,317,0.9576511383056641
list,75,75,10,679,2.037938117980957
list,75,75,10,1009,2.954495906829834
list,75,75,10,291,0.8803000450134277
list,75,75,10,255,0.7898619174957275
list,75,75,10,300,0.9151830673217773
list,75,75,10,317,0.9782440662384033
list,75,75,10,327,0.9804072380065918
list,75,75,10,229,0.7011001110076904
list,75,75,10,354,1.0988132953643799
list,75,75,10,267,0.819586992263794
list,75,75,10,324,0.978029727935791
list,75,75,10,196,0.5952770709991455
list,75,75,10,332,0.9984829425811768
list,75,75,10,339,1.0228629112243652
list,75,75,10,295,0.8916761875152588
list,75,75,10,366,1.103705883026123
list,75,75,10,237,0.7189927101135254
list,75,75,10,378,1.1564998626708984
list,75,75,10,242,0.7594790458679199
list,75,75,10,330,1.0271492004394531
list,75,75,10,307,0.9163358211517334
list,75,75,10,451,1.3504290580749512
list,75,75,10,289,0.8726401329040527
list,75,75,10,767,2.2791481018066406
list,75,75,10,397,1.1882908344268799
list,75,75,10,344,1.0357611179351807
list,75,75,10,176,0.5251169204711914
list,75,75,10,330,1.001551866531372
list,75,75,10,270,0.8233001232147217
list,75,75,10,179,0.5459578037261963
list,75,75,10,180,0.544809103012085
list,75,75,10,266,0.810377836227417
list,75,75,10,231,0.7009170055389404
list,75,75,100,293,0.9040980339050293
list,75,75,100,641,1.8916089534759521
list,75,75,100,781,2.44482684135437
list,75,75,100,909,2.650426149368286
list,75,75,100,179,0.5689778327941895
list,75,75,100,933,3.007883071899414
list,75,75,100,874,3.075579881668091
list,75,75,100,306,1.2120931148529053
list,75,75,100,549,1.8585700988769531
list,75,75,100,314,0.9736390113830566
list,75,75,100,345,1.095458984375
list,75,75,100,530,1.590785026550293
list,75,75,100,602,1.862027883529663
list,75,75,100,468,1.4064669609069824
list,75,75,100,635,2.0743980407714844
list,75,75,100,201,0.8582749366760254
list,75,75,100,311,1.0237209796905518
list,75,75,100,317,1.0042617321014404
list,75,75,100,589,1.8564708232879639
list,75,75,100,713,2.171401023864746
list,75,75,100,624,2.039952039718628
list,75,75,100,394,1.2314329147338867
list,75,75,100,288,0.9130420684814453
list,75,75,100,375,1.1674079895019531
list,75,75,100,298,0.9358139038085938
list,75,75,100,560,1.7101690769195557
list,75,75,100,398,1.2580320835113525
list,75,75,100,485,1.4993069171905518
list,75,75,100,285,0.894322395324707
list,75,75,100,332,1.039795160293579
list,75,75,100,565,1.7530732154846191
list,75,75,100,518,1.5932948589324951
list,75,75,100,354,1.2014968395233154
list,75,75,100,472,1.6218760013580322
list,75,75,100,797,2.94856595993042
list,75,75,100,374,1.164795160293579
list,75,75,100,317,1.0068271160125732
list,75,75,100,273,0.8550219535827637
list,75,75,100,286,0.8994948863983154
list,75,75,100,476,1.4705228805541992
list,75,75,100,583,1.8143048286437988
list,75,75,100,386,1.1769278049468994
list,75,75,100,575,1.742940902709961
list,75,75,100,621,1.883284091949463
list,75,75,100,582,1.790802240371704
list,75,75,100,196,0.6137452125549316
list,75,75,100,214,0.6703441143035889
list,75,75,100,350,1.0823888778686523
list,75,75,100,570,1.7490918636322021
list,75,75,100,577,1.7703158855438232
list,95,95,2,225,1.1358740329742432
list,95,95,2,307,1.5380489826202393
list,95,95,2,162,0.8103020191192627
list,95,95,2,172,0.8537731170654297
list,95,95,2,329,1.653853178024292
list,95,95,2,336,1.67100191116333
list,95,95,2,340,1.7079198360443115
list,95,95,2,282,1.4161369800567627
list,95,95,2,319,1.5928399562835693
list,95,95,2,177,0.8808960914611816
list,95,95,2,528,2.6669859886169434
list,95,95,2,225,1.1808898448944092
list,95,95,2,301,1.5135419368743896
list,95,95,2,187,0.9236791133880615
